symbol,expiration,strike,right,lot,dte,undId,undPrice,lo52,hi52,Fall,Rise,Std,loStd,hiStd,optId,optPrice,margin,rom,remqty,expPrice,expRom,qty
LICHSGFIN,20190530,380.0,P,1100,16,82450876,476.8,387.6,610.0,135.89999999999998,91.0,26.651010517560884,423.49797896487826,556.7530315526826,355584818,1.0,97034.0,0.25860780757260343,2,3.85,0.9956400591545231,1
LICHSGFIN,20190530,370.0,P,1100,16,82450876,476.8,387.6,610.0,135.89999999999998,91.0,26.651010517560884,423.49797896487826,556.7530315526826,355584809,0.85,97034.0,0.21981663643671293,2,3.85,0.9956400591545231,1
LICHSGFIN,20190530,360.0,P,1100,16,82450876,476.8,387.6,610.0,135.89999999999998,91.0,26.651010517560884,423.49797896487826,556.7530315526826,355584803,0.75,97034.0,0.19395585567945256,2,3.85,0.9956400591545231,1
LTFH,20190530,90.0,P,4500,16,92679222,115.0,112.1,192.1,65.89999999999999,45.25,12.473472407028002,90.053055185944,152.420417221084,355572074,0.95,97540.58999999985,0.9998241501307317,2,0.95,0.9998241501307317,1
MARUTI,20190627,5800.0,P,75,44,44652108,6543.75,6320.0,9995.1,2968.2999999999993,1644.1000000000004,351.9827872758464,5839.784425448307,7599.698361827539,359231115,17.8,89674.79999999888,0.12349547273238362,1,144.15,1.0001051906951182,1
MARUTI,20190530,5900.0,P,75,16,44652108,6543.75,6320.0,9995.1,2034.9499999999998,1545.050000000001,314.8184084150865,5914.113183169827,7488.2052252452595,355585153,25.05,89674.79999999888,0.4779378863961842,1,52.4,0.9997582932998024,1
MARUTI,20190530,5800.0,P,75,16,44652108,6543.75,6320.0,9995.1,2034.9499999999998,1545.050000000001,314.8184084150865,5914.113183169827,7488.2052252452595,355585147,26.65,89674.79999999888,0.5084648571839643,1,52.4,0.9997582932998024,1
MCDOWELL-,20190530,420.0,P,1250,16,321318372,527.9,438.2,731.425,154.90000000000003,180.85000000000002,17.080178404544412,493.7396431909111,579.1405352136333,355587024,0.45,121175.48000000045,0.10589626919571479,2,4.25,1.0001314312928618,1
MCDOWELL-,20190530,410.0,P,1250,16,321318372,527.9,438.2,731.425,154.90000000000003,180.85000000000002,17.080178404544412,493.7396431909111,579.1405352136333,359172433,0.3,121175.48000000045,0.07059751279714319,2,4.25,1.0001314312928618,1
MCDOWELL-,20190530,400.0,P,1250,16,321318372,527.9,438.2,731.425,154.90000000000003,180.85000000000002,17.080178404544412,493.7396431909111,579.1405352136333,355587019,0.2,121175.48000000045,0.047065008531428795,2,4.25,1.0001314312928618,1
MCX,20190627,640.0,P,700,44,103853702,803.1,643.6,998.25,323.20000000000005,227.45000000000005,60.00008858967817,683.0998228206437,983.1002657690345,359253256,0.7,104652.40000000037,0.038840702432746045,2,18.0,0.9987609196991841,1
MCX,20190627,630.0,P,700,44,103853702,803.1,643.6,998.25,323.20000000000005,227.45000000000005,60.00008858967817,683.0998228206437,983.1002657690345,359253250,0.5,104652.40000000037,0.027743358880532892,2,18.0,0.9987609196991841,1
MCX,20190627,620.0,P,700,44,103853702,803.1,643.6,998.25,323.20000000000005,227.45000000000005,60.00008858967817,683.0998228206437,983.1002657690345,359253241,0.35,104652.40000000037,0.019420351216373023,2,18.0,0.9987609196991841,1
MFSL,20190627,340.0,P,1200,44,56987139,402.1,350.0,611.15,184.0,130.75,23.640586632596175,354.81882673480766,473.02175989778857,359254313,1.9,89466.79999999888,0.2114039662046323,3,9.0,1.001387208337732,1
MFSL,20190627,330.0,P,1200,44,56987139,402.1,350.0,611.15,184.0,130.75,23.640586632596175,354.81882673480766,473.02175989778857,359254307,1.1,89466.79999999888,0.12239176990794505,3,9.0,1.001387208337732,1
MFSL,20190627,320.0,P,1200,44,56987139,402.1,350.0,611.15,184.0,130.75,23.640586632596175,354.81882673480766,473.02175989778857,359254298,0.6,89466.79999999888,0.06675914722251547,3,9.0,1.001387208337732,1
MGL,20190530,740.0,P,600,16,239032762,853.45,760.0,1163.0,191.20000000000005,195.0999999999999,50.96827712840114,751.5134457431977,1006.3548313852034,355576872,1.2,94182.5700000003,0.1743953260141441,2,6.9,1.0027731245813285,1
MGL,20190530,720.0,P,600,16,239032762,853.45,760.0,1163.0,191.20000000000005,195.0999999999999,50.96827712840114,751.5134457431977,1006.3548313852034,355576866,0.5,94182.5700000003,0.07266471917256004,2,6.9,1.0027731245813285,1
MOTHERSUM,20190627,95.0,P,2850,44,56987580,122.2,119.65,263.6,70.67500000000001,48.44999999999999,12.695662096384494,96.80867580723101,160.28698628915348,359212680,0.55,66392.77999999933,0.1958514916832844,2,2.8,0.9970621394785387,1
MOTHERSUM,20190530,95.0,P,2850,16,56987580,122.2,119.65,263.6,50.45000000000002,46.400000000000006,12.137556737411165,97.92488652517767,158.6126702122335,355564906,0.05,66392.77999999933,0.048962872920821104,2,1.0,0.9792574584164221,1
MRF,20190530,47500.0,P,10,16,56987338,53071.75,51598.0,81426.0,11800.0,11932.0,2621.8489941110115,47828.052011777974,60937.296982333035,355565146,31.8,96738.05999999866,0.07498987471942378,2,424.05,0.9999829048670331,1
NATIONALU,20190530,42.5,P,8000,16,85433002,48.4,46.25,90.0,20.5,24.25,2.5987750990237903,43.20244980195242,56.19632529707137,359256912,0.25,74536.94999999925,0.6121125160071677,2,0.4,0.9793800256114683,1
NATIONALU,20190530,40.5,P,8000,16,85433002,48.4,46.25,90.0,20.5,24.25,2.5987750990237903,43.20244980195242,56.19632529707137,359257185,0.15,74536.94999999925,0.3672675096043006,2,0.4,0.9793800256114683,1
NATIONALU,20190530,40.0,P,8000,16,85433002,48.4,46.25,90.0,20.5,24.25,2.5987750990237903,43.20244980195242,56.19632529707137,359256907,0.15,74536.94999999925,0.3672675096043006,2,0.4,0.9793800256114683,1
NBCC,20190627,42.5,P,8000,44,315530281,52.65,47.25,109.15,38.35000000000001,21.049999999999997,4.966767956030499,42.716464087939,67.5503038680915,359502748,0.35,78112.6799999997,0.29735598275814906,1,1.2,1.0195062265993682,1
NBCC,20190530,45.0,P,8000,16,315530281,52.65,47.25,109.15,23.5,18.999999999999993,3.816880061935688,45.01623987612862,64.10064018580707,359501940,0.15,78112.6799999997,0.3504552653935328,1,0.45,1.0513657961805984,1
NBCC,20190530,44.0,P,8000,16,315530281,52.65,47.25,109.15,23.5,18.999999999999993,3.816880061935688,45.01623987612862,64.10064018580707,359501935,0.1,78112.6799999997,0.23363684359568854,1,0.45,1.0513657961805984,1
NHPC,20190627,19.0,P,27000,44,68324175,22.1,21.85,34.45,8.100000000000001,8.200000000000003,1.178698211802211,19.74260357639558,25.636094635406636,359205353,0.05,120233.36999999918,0.09314272432323666,1,0.55,1.0245699675556035,1
NHPC,20190530,20.0,P,27000,16,68324175,22.1,21.85,34.45,5.300000000000001,6.7500000000000036,0.9117272727052107,20.27654545458958,24.835181818115633,355587858,0.15,120233.36999999918,0.7684274756667024,1,0.2,1.0245699675556033,1
NHPC,20190530,19.0,P,27000,16,68324175,22.1,21.85,34.45,5.300000000000001,6.7500000000000036,0.9117272727052107,20.27654545458958,24.835181818115633,355587849,0.1,120233.36999999918,0.5122849837778016,1,0.2,1.0245699675556033,1
NIFTY50,20190523,9800.0,P,75,9,51497778,11148.2,9952.15,11851.9,994.6499999999996,669.0,219.45763442128268,10709.284731157435,11806.572903263848,365598929,32.95,114983.38999999873,0.871629516808191,1,37.8,0.9999270329392904,1
NMDC,20190627,75.0,P,6000,44,56984653,93.85,88.6,162.7,42.64999999999999,39.14999999999999,7.117615195714302,79.6147696085714,115.2028455871429,359164560,0.05,108913.70999999903,0.022849615201211915,2,2.2,1.0053830688533243,1
NMDC,20190627,72.5,P,6000,44,56984653,93.85,88.6,162.7,42.64999999999999,39.14999999999999,7.117615195714302,79.6147696085714,115.2028455871429,359164555,0.05,108913.70999999903,0.022849615201211915,2,2.2,1.0053830688533243,1
