symbol,expiration,strike,right,dte,margin,undPrice,lot,undId,lo52,hi52,Fall,Rise,Std,loStd,hiStd,optId,optPrice,optMargin,rom,remqty,expPrice,expRom,qty
INTC,20190621,34.0,P,37,290,45.235,100,270639,42.04,59.59,14.89,11.740000000000002,4.763213259346743,35.708573481306516,59.524639778040225,335013771,0.07,32.879999999990105,2.1001841257322034,11,0.12000000000000001,3.600315644112349,1
JNJ,20190628,115.0,P,44,891,136.8,100,8719,118.62,148.99,27.99000000000001,18.79000000000002,5.936170210873412,124.92765957825318,154.60851063262024,365809437,0.28,148.83999999999648,1.5605531259925611,3,0.33,1.839223327062661,1
JNJ,20190621,115.0,P,37,891,136.8,100,8719,118.62,148.99,27.99000000000001,18.79000000000002,5.346359730993054,126.1072805380139,152.83907919297917,302441557,0.22,142.01999999998952,1.5281441136955574,3,0.27,1.8754495940809113,1
JNJ,20190621,110.0,P,37,891,136.8,100,8719,118.62,148.99,27.99000000000001,18.79000000000002,5.346359730993054,126.1072805380139,152.83907919297917,302441552,0.14,113.80000000000292,1.213603761934135,3,0.19,1.647033676910612,1
JPM,20190628,90.0,P,44,711,110.405,100,1520593,91.11,119.33,21.820000000000007,19.069999999999993,5.488677794653082,99.42764441069383,126.87103338395924,365809857,0.33,115.25999999999478,2.375065070276005,4,0.38,2.7349234142572185,1
JPM,20190628,85.0,P,44,711,110.405,100,1520593,91.11,119.33,21.820000000000007,19.069999999999993,5.488677794653082,99.42764441069383,126.87103338395924,365809843,0.19,86.19000000000233,1.828676602432209,4,0.24,2.309907287282791,4
JPM,20190621,90.0,P,37,711,110.405,100,1520593,91.11,119.33,21.820000000000007,19.069999999999993,5.488677794653082,99.42764441069383,126.87103338395924,289157898,0.23,110.36999999999534,2.0557388048554994,4,0.28,2.5026385450414774,1
KHC,20190524,30.0,P,9,207,32.27,100,199169586,31.53,82.48,16.839999999999996,6.749999999999993,0.38619215255909045,31.497615694881823,33.42857645767727,360599814,0.35,87.1299999999901,16.291110345972747,5,0.39999999999999997,18.618411823968856,1
KHC,20190524,29.5,P,9,207,32.27,100,199169586,31.53,82.48,16.839999999999996,6.749999999999993,0.38619215255909045,31.497615694881823,33.42857645767727,361298993,0.3,74.77999999999885,16.269947401266183,5,0.35,18.981605301477217,1
KHC,20190524,28.0,P,9,207,32.27,100,199169586,31.53,82.48,16.839999999999996,6.749999999999993,0.38619215255909045,31.497615694881823,33.42857645767727,361298986,0.2,50.419999999998254,16.08709066067313,5,0.25,20.108863325841412,1
KMI,20190628,14.5,P,44,127,20.0,100,83975037,14.62,20.44,4.899999999999999,4.910000000000002,1.5923182533106117,16.815363493378776,24.776954759931833,365412475,0.01,12.30000000000291,0.6744271988172831,25,0.07,4.720990391720982,25
KO,20190621,41.0,P,37,312,48.86,100,8894,41.45,50.84,6.43,6.590000000000003,1.458410667223393,45.94317866555321,53.23523200167018,335014755,0.07,52.979999999995925,1.3033985287666925,10,0.12000000000000001,2.234397477885759,10
KO,20190614,41.0,P,30,312,48.86,100,8894,41.45,50.84,6.43,6.590000000000003,1.458410667223393,45.94317866555321,53.23523200167018,365410217,0.07,45.11000000000058,1.887977536392498,10,0.12000000000000001,3.236532919529997,10
KO,20190607,41.0,P,23,312,48.86,100,8894,41.45,50.84,6.43,5.990000000000002,1.4361568883153035,45.987686223369394,53.16847066494591,362413143,0.05,45.259999999994754,1.753155680224607,10,0.1,3.506311360449214,10
LLY,20190621,72.5,P,37,743,114.67,100,9160,73.69,132.13,18.47999999999999,21.67,5.8422003484068075,102.98559930318639,132.19660104522043,315929990,0.02,35.16999999999825,0.5609817949880783,4,0.07,1.9634362824582745,4
LMT,20190628,240.0,P,44,2179,336.17,100,611191,241.17,363.0,93.6,70.58000000000001,21.33760881635996,293.4947823672801,400.1828264490799,365652681,0.3,189.55999999999767,1.3128488940896783,1,0.35,1.5316570431046246,1
LMT,20190621,240.0,P,37,2179,336.17,100,611191,241.17,363.0,73.06000000000003,66.16,21.33760881635996,293.4947823672801,400.1828264490799,315930560,0.2,182.00999999999482,1.0839915240772646,1,0.25,1.3549894050965807,1
